"","borocd","n_reports_311","n_repairs_dot","total_population","road_miles","median_household_income","rental_vacancy_rate","pct_renters","pct_with_college_degree","pct_foreign_born"
"1",101,940,416,71865,51.6360551900794,20,2.70000004768372,70.0999984741211,82.3000030517578,25
"2",102,734,382,86202,47.1019381122644,15.7525,6.09999990463257,69.6999969482422,84.4000015258789,22.2999992370605
"3",103,736,378,153288,57.3204213288849,5.8967,4.5,83.6999969482422,47.5999984741211,32.0999984741211
"4",104,807,345,117099,51.7556909340589,11.6306,6.80000019073486,79.3000030517578,74,28.2999992370605
"5",105,1503,826,51619,46.2524914767164,16.7989,7.40000009536743,71.1999969482422,78.5,30.2000007629395
"6",106,695,330,145360,46.8279312592445,15.4907,3.79999995231628,68.5,83.4000015258789,24
"7",107,940,382,218761,55.532640528292,14.4026,7.80000019073486,64.0999984741211,78.1999969482422,23
"8",108,1287,540,212308,62.4010767803419,15.3866,7.30000019073486,63,81,24
"9",109,453,208,112774,43.356893022068,6.5048,5.80000019073486,84.4000015258789,48.2999992370605,33.7999992370605
"10",110,402,201,134893,42.8239570458546,5.9061,4.30000019073486,84,42.2999992370605,23.8999996185303
"11",111,583,293,124499,69.9569943349452,4.0975,4.5,91.8000030517578,35.0999984741211,24.3999996185303
"12",112,710,356,188591,79.1899645684487,6.7024,2.79999995231628,87.6999969482422,39.7000007629395,43.5
"13",201,594,225,96910,64.1337062904541,3.1296,1.29999995231628,92.3000030517578,14.6000003814697,26
"14",202,299,165,55126,55.5849556856049,3.9739,1.89999997615814,89.5,15,26.6000003814697
"15",203,301,157,87924,41.2144574370745,3.3688,1.5,92.5999984741211,14.3999996185303,27.2999992370605
"16",204,648,252,149631,70.2131736440611,4.2143,1.20000004768372,92.3000030517578,17.1000003814697,37.5
"17",205,363,174,133897,46.0911808154861,3.9638,1.20000004768372,95.6999969482422,14.1999998092651,44.9000015258789
"18",206,407,160,87093,48.1497830125051,3.309,2.79999995231628,94,14.1000003814697,31.8999996185303
"19",207,594,239,136125,52.4487058039013,4.6185,2.79999995231628,92.6999969482422,18.7999992370605,44
"20",208,1286,613,105777,80.4819795093169,7.5226,1.20000004768372,63.0999984741211,44.2000007629395,30.3999996185303
"21",209,737,354,170654,110.178538429311,5.0178,3.20000004768372,77.6999969482422,20.2000007629395,33
"22",210,1162,614,128362,160.033791720969,7.0292,1.70000004768372,55.0999984741211,28.1000003814697,25.2999992370605
"23",211,777,388,113982,95.150425749879,6.5063,3.70000004768372,69.8000030517578,27.8999996185303,32.9000015258789
"24",212,1045,488,160621,135.520036106617,6.6304,2.40000009536743,60.5999984741211,27.2000007629395,38.5999984741211
"25",301,1797,1079,203002,137.350183274821,10.2807,2,84.0999984741211,54.0999984741211,21.5
"26",302,1069,526,125637,92.4992962718216,14.5094,3.90000009536743,68,72.1999969482422,21.1000003814697
"27",303,921,429,180283,73.6929135553237,7.7546,2.29999995231628,77.8000030517578,44.5999984741211,19.6000003814697
"28",304,608,283,111975,53.3089844191648,8.3441,3.20000004768372,83.5,40.5999984741211,31.2999992370605
"29",305,1283,575,201036,151.582624078514,5.4145,3.40000009536743,75.5,16.5,36.7000007629395
"30",306,874,447,121009,82.6448737361604,16.5947,3.5,63.2000007629395,75.8000030517578,17.7999992370605
"31",307,1202,548,120253,88.329626489105,8.4767,2.90000009536743,69.5,39.5,39.5999984741211
"32",308,470,204,109719,43.4723136631731,9.0978,2.59999990463257,79.5,52.7999992370605,26
"33",309,353,161,97675,40.7837314716422,7.3751,2.20000004768372,81.0999984741211,40.0999984741211,34.2000007629395
"34",310,890,459,125053,118.860433587219,8.7994,2.90000009536743,59.5999984741211,45.4000015258789,37.9000015258789
"35",311,923,457,182754,102.017526704833,6.8756,2.20000004768372,65.0999984741211,31.8999996185303,54.9000015258789
