"","term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"1","(Intercept)",1.67906507502469,1.18262294931972,1.41978056149726,0.155671575756439,-0.529813463395476,3.90062505355392
"2","log(total_population)",-0.00720045219313839,0.0999101119785192,-0.0720693036024872,0.942546754858302,-0.194748467829768,0.179525522026281
"3","median_household_income",0.313319288558297,0.0356354162463275,8.79235663735475,1.46455008125963e-18,0.242615856066109,0.384985131950498
"4","pct_foreign_born",0.0664666881138988,0.0334485430610904,1.98713253347101,0.0469077118291824,0.00297075442144277,0.130387688771489
"5","pct_renters",0.16236764094822,0.0358284427777805,4.53180848398229,5.84808579113769e-06,0.0922315403418288,0.231291038161252
