"","borocd","report_month","n_reports_311","n_repairs_dot","total_population","median_age","median_household_income","pct_renters","rental_vacancy_rate","pct_with_college_degree","pct_foreign_born","road_miles"
"1",101,2022-12-31 19:00:00,47,13,71865,35,200000,70.0999984741211,2.70000004768372,82.3000030517578,25,51.6360551900794
"2",101,2023-01-31 19:00:00,38,12,71865,35,200000,70.0999984741211,2.70000004768372,82.3000030517578,25,51.6360551900794
"3",101,2023-02-28 19:00:00,124,43,71865,35,200000,70.0999984741211,2.70000004768372,82.3000030517578,25,51.6360551900794
"4",101,2023-03-31 20:00:00,47,19,71865,35,200000,70.0999984741211,2.70000004768372,82.3000030517578,25,51.6360551900794
"5",101,2023-04-30 20:00:00,45,21,71865,35,200000,70.0999984741211,2.70000004768372,82.3000030517578,25,51.6360551900794
"6",101,2023-05-31 20:00:00,22,11,71865,35,200000,70.0999984741211,2.70000004768372,82.3000030517578,25,51.6360551900794
"7",101,2023-06-30 20:00:00,24,13,71865,35,200000,70.0999984741211,2.70000004768372,82.3000030517578,25,51.6360551900794
"8",101,2023-07-31 20:00:00,27,9,71865,35,200000,70.0999984741211,2.70000004768372,82.3000030517578,25,51.6360551900794
"9",101,2023-08-31 20:00:00,49,28,71865,35,200000,70.0999984741211,2.70000004768372,82.3000030517578,25,51.6360551900794
"10",101,2023-09-30 20:00:00,30,12,71865,35,200000,70.0999984741211,2.70000004768372,82.3000030517578,25,51.6360551900794
"11",101,2023-10-31 20:00:00,33,16,71865,35,200000,70.0999984741211,2.70000004768372,82.3000030517578,25,51.6360551900794
"12",101,2023-11-30 19:00:00,32,14,71865,35,200000,70.0999984741211,2.70000004768372,82.3000030517578,25,51.6360551900794
"13",101,2023-12-31 19:00:00,34,17,71865,35,200000,70.0999984741211,2.70000004768372,82.3000030517578,25,51.6360551900794
"14",101,2024-01-31 19:00:00,60,29,71865,35,200000,70.0999984741211,2.70000004768372,82.3000030517578,25,51.6360551900794
"15",101,2024-02-29 19:00:00,69,32,71865,35,200000,70.0999984741211,2.70000004768372,82.3000030517578,25,51.6360551900794
"16",101,2024-03-31 20:00:00,62,23,71865,35,200000,70.0999984741211,2.70000004768372,82.3000030517578,25,51.6360551900794
"17",101,2024-04-30 20:00:00,54,30,71865,35,200000,70.0999984741211,2.70000004768372,82.3000030517578,25,51.6360551900794
"18",101,2024-05-31 20:00:00,24,11,71865,35,200000,70.0999984741211,2.70000004768372,82.3000030517578,25,51.6360551900794
"19",101,2024-06-30 20:00:00,17,7,71865,35,200000,70.0999984741211,2.70000004768372,82.3000030517578,25,51.6360551900794
"20",101,2024-07-31 20:00:00,20,11,71865,35,200000,70.0999984741211,2.70000004768372,82.3000030517578,25,51.6360551900794
"21",101,2024-08-31 20:00:00,26,12,71865,35,200000,70.0999984741211,2.70000004768372,82.3000030517578,25,51.6360551900794
"22",101,2024-09-30 20:00:00,18,8,71865,35,200000,70.0999984741211,2.70000004768372,82.3000030517578,25,51.6360551900794
"23",101,2024-10-31 20:00:00,23,16,71865,35,200000,70.0999984741211,2.70000004768372,82.3000030517578,25,51.6360551900794
"24",101,2024-11-30 19:00:00,15,9,71865,35,200000,70.0999984741211,2.70000004768372,82.3000030517578,25,51.6360551900794
"25",102,2022-12-31 19:00:00,25,9,86202,38.2999992370605,157525,69.6999969482422,6.09999990463257,84.4000015258789,22.2999992370605,47.1019381122644
"26",102,2023-01-31 19:00:00,36,18,86202,38.2999992370605,157525,69.6999969482422,6.09999990463257,84.4000015258789,22.2999992370605,47.1019381122644
"27",102,2023-02-28 19:00:00,33,17,86202,38.2999992370605,157525,69.6999969482422,6.09999990463257,84.4000015258789,22.2999992370605,47.1019381122644
"28",102,2023-03-31 20:00:00,39,21,86202,38.2999992370605,157525,69.6999969482422,6.09999990463257,84.4000015258789,22.2999992370605,47.1019381122644
"29",102,2023-04-30 20:00:00,30,12,86202,38.2999992370605,157525,69.6999969482422,6.09999990463257,84.4000015258789,22.2999992370605,47.1019381122644
"30",102,2023-05-31 20:00:00,37,21,86202,38.2999992370605,157525,69.6999969482422,6.09999990463257,84.4000015258789,22.2999992370605,47.1019381122644
"31",102,2023-06-30 20:00:00,31,11,86202,38.2999992370605,157525,69.6999969482422,6.09999990463257,84.4000015258789,22.2999992370605,47.1019381122644
"32",102,2023-07-31 20:00:00,21,13,86202,38.2999992370605,157525,69.6999969482422,6.09999990463257,84.4000015258789,22.2999992370605,47.1019381122644
"33",102,2023-08-31 20:00:00,17,10,86202,38.2999992370605,157525,69.6999969482422,6.09999990463257,84.4000015258789,22.2999992370605,47.1019381122644
"34",102,2023-09-30 20:00:00,27,16,86202,38.2999992370605,157525,69.6999969482422,6.09999990463257,84.4000015258789,22.2999992370605,47.1019381122644
"35",102,2023-10-31 20:00:00,32,25,86202,38.2999992370605,157525,69.6999969482422,6.09999990463257,84.4000015258789,22.2999992370605,47.1019381122644
"36",102,2023-11-30 19:00:00,28,18,86202,38.2999992370605,157525,69.6999969482422,6.09999990463257,84.4000015258789,22.2999992370605,47.1019381122644
"37",102,2023-12-31 19:00:00,22,12,86202,38.2999992370605,157525,69.6999969482422,6.09999990463257,84.4000015258789,22.2999992370605,47.1019381122644
"38",102,2024-01-31 19:00:00,15,8,86202,38.2999992370605,157525,69.6999969482422,6.09999990463257,84.4000015258789,22.2999992370605,47.1019381122644
"39",102,2024-02-29 19:00:00,36,14,86202,38.2999992370605,157525,69.6999969482422,6.09999990463257,84.4000015258789,22.2999992370605,47.1019381122644
"40",102,2024-03-31 20:00:00,50,19,86202,38.2999992370605,157525,69.6999969482422,6.09999990463257,84.4000015258789,22.2999992370605,47.1019381122644
"41",102,2024-04-30 20:00:00,23,15,86202,38.2999992370605,157525,69.6999969482422,6.09999990463257,84.4000015258789,22.2999992370605,47.1019381122644
"42",102,2024-05-31 20:00:00,42,21,86202,38.2999992370605,157525,69.6999969482422,6.09999990463257,84.4000015258789,22.2999992370605,47.1019381122644
"43",102,2024-06-30 20:00:00,45,18,86202,38.2999992370605,157525,69.6999969482422,6.09999990463257,84.4000015258789,22.2999992370605,47.1019381122644
"44",102,2024-07-31 20:00:00,32,20,86202,38.2999992370605,157525,69.6999969482422,6.09999990463257,84.4000015258789,22.2999992370605,47.1019381122644
"45",102,2024-08-31 20:00:00,22,12,86202,38.2999992370605,157525,69.6999969482422,6.09999990463257,84.4000015258789,22.2999992370605,47.1019381122644
"46",102,2024-09-30 20:00:00,24,7,86202,38.2999992370605,157525,69.6999969482422,6.09999990463257,84.4000015258789,22.2999992370605,47.1019381122644
"47",102,2024-10-31 20:00:00,34,18,86202,38.2999992370605,157525,69.6999969482422,6.09999990463257,84.4000015258789,22.2999992370605,47.1019381122644
"48",102,2024-11-30 19:00:00,33,27,86202,38.2999992370605,157525,69.6999969482422,6.09999990463257,84.4000015258789,22.2999992370605,47.1019381122644
"49",103,2022-12-31 19:00:00,35,13,153288,39,58967,83.6999969482422,4.5,47.5999984741211,32.0999984741211,57.3204213288849
"50",103,2023-01-31 19:00:00,25,12,153288,39,58967,83.6999969482422,4.5,47.5999984741211,32.0999984741211,57.3204213288849
"51",103,2023-02-28 19:00:00,49,27,153288,39,58967,83.6999969482422,4.5,47.5999984741211,32.0999984741211,57.3204213288849
"52",103,2023-03-31 20:00:00,23,9,153288,39,58967,83.6999969482422,4.5,47.5999984741211,32.0999984741211,57.3204213288849
"53",103,2023-04-30 20:00:00,24,8,153288,39,58967,83.6999969482422,4.5,47.5999984741211,32.0999984741211,57.3204213288849
"54",103,2023-05-31 20:00:00,37,21,153288,39,58967,83.6999969482422,4.5,47.5999984741211,32.0999984741211,57.3204213288849
"55",103,2023-06-30 20:00:00,27,14,153288,39,58967,83.6999969482422,4.5,47.5999984741211,32.0999984741211,57.3204213288849
"56",103,2023-07-31 20:00:00,21,11,153288,39,58967,83.6999969482422,4.5,47.5999984741211,32.0999984741211,57.3204213288849
